CMD: maintainability_line_counts(scope files expanded, tracked-aware)
apps/s10_gui_operator_tools_v1.ts | tracked=0 | total_lines=96 | added=96 | removed=0 | net=96
docs/sprints/S10/evidence/tools/diff/S10-EVID-DIFF/S10-gui-operator-tools-v1_diff_S10-EVID-DIFF_20260304T193000Z/budget_eval.md | tracked=0 | total_lines=1 | added=1 | removed=0 | net=1
docs/sprints/S10/evidence/tools/diff/S10-EVID-DIFF/S10-gui-operator-tools-v1_diff_S10-EVID-DIFF_20260304T193000Z/diff_commands.json | tracked=0 | total_lines=26 | added=26 | removed=0 | net=26
docs/sprints/S10/evidence/tools/diff/S10-EVID-DIFF/S10-gui-operator-tools-v1_diff_S10-EVID-DIFF_20260304T193000Z/diff_files.json | tracked=0 | total_lines=4 | added=4 | removed=0 | net=4
docs/sprints/S10/evidence/tools/diff/S10-EVID-DIFF/S10-gui-operator-tools-v1_diff_S10-EVID-DIFF_20260304T193000Z/diff_files.stderr.txt | tracked=0 | total_lines=0 | added=0 | removed=0 | net=0
docs/sprints/S10/evidence/tools/diff/S10-EVID-DIFF/S10-gui-operator-tools-v1_diff_S10-EVID-DIFF_20260304T193000Z/diff_files.stdout.txt | tracked=0 | total_lines=2 | added=2 | removed=0 | net=2
docs/sprints/S10/evidence/tools/diff/S10-EVID-DIFF/S10-gui-operator-tools-v1_diff_S10-EVID-DIFF_20260304T193000Z/diff_numstat.stderr.txt | tracked=0 | total_lines=0 | added=0 | removed=0 | net=0
docs/sprints/S10/evidence/tools/diff/S10-EVID-DIFF/S10-gui-operator-tools-v1_diff_S10-EVID-DIFF_20260304T193000Z/diff_numstat.stdout.txt | tracked=0 | total_lines=1 | added=1 | removed=0 | net=1
docs/sprints/S10/evidence/tools/diff/S10-EVID-DIFF/S10-gui-operator-tools-v1_diff_S10-EVID-DIFF_20260304T193000Z/diff_outputs.ndjson | tracked=0 | total_lines=3 | added=3 | removed=0 | net=3
docs/sprints/S10/evidence/tools/diff/S10-EVID-DIFF/S10-gui-operator-tools-v1_diff_S10-EVID-DIFF_20260304T193000Z/diffstat.stderr.txt | tracked=0 | total_lines=0 | added=0 | removed=0 | net=0
docs/sprints/S10/evidence/tools/diff/S10-EVID-DIFF/S10-gui-operator-tools-v1_diff_S10-EVID-DIFF_20260304T193000Z/diffstat.stdout.txt | tracked=0 | total_lines=1 | added=1 | removed=0 | net=1
docs/sprints/S10/evidence/tools/diff/S10-EVID-DIFF/S10-gui-operator-tools-v1_diff_S10-EVID-DIFF_20260304T193000Z/diffstat.txt | tracked=0 | total_lines=1 | added=1 | removed=0 | net=1
docs/sprints/S10/evidence/tools/diff/S10-EVID-DIFF/S10-gui-operator-tools-v1_diff_S10-EVID-DIFF_20260304T193000Z/run_context.json | tracked=0 | total_lines=11 | added=11 | removed=0 | net=11
docs/sprints/S10/evidence/tools/diff/S10-EVID-DIFF/S10-gui-operator-tools-v1_diff_S10-EVID-DIFF_20260304T193000Z/whitelist_eval.md | tracked=0 | total_lines=1 | added=1 | removed=0 | net=1
